City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
509,Cap Malheureux,MU,75.69,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
511,Meulaboh,ID,76.68,overcast clouds,4.1363,96.1285,Kost Pria
513,Vavatenina,MG,72.54,broken clouds,-17.4667,49.2,FARA Jean E. et TOMBO Berthine
514,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
516,Tsabong,BW,60.13,clear sky,-26.0217,22.401,Springbok Motel
519,Mae Sai,TH,72.72,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
520,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
522,Harper,LR,77.22,light rain,4.375,-7.7169,Screensaver
524,Adrar,MR,80.46,clear sky,20.5022,-10.0711,
526,Saint-Pierre,RE,73.56,clear sky,-21.3393,55.4781,Lindsey Hôtel
532,Douglas,US,61.9,broken clouds,41.3,-96.167,Hilton Garden Inn Omaha West
534,Sinnamary,GF,80.94,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
538,Suez,EG,66.72,clear sky,29.9737,32.5263,Green House
543,Cayenne,GF,77.09,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
544,Tsaratanana,MG,77.59,scattered clouds,-16.7833,47.65,
547,Dwarka,IN,81.72,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
548,Westport,US,62.06,clear sky,41.1415,-73.3579,The Westport Inn
553,Beloha,MG,70.68,clear sky,-25.1667,45.05,
554,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
556,Amberley,US,60.04,overcast clouds,39.2048,-84.428,"Motel 6 Cincinnati, OH - Central - Norwood"
560,Karratha,AU,79.29,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
563,Atambua,ID,75.52,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
568,Pangkalanbuun,ID,73.58,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
571,General Roca,AR,74.62,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
577,Jiazi,CN,66.52,overcast clouds,22.8779,116.067,Hotel Jin Hao
578,Buala,SB,80.06,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
579,Kutum,SD,78.94,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
580,Ouesso,CG,71.02,light rain,1.6136,16.0517,ABENIE Hotel
581,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
583,Tevaitoa,PF,78.15,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
584,Canaries,ES,64.4,broken clouds,28.0,-15.5,Villa del Monte
585,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
587,Zahirabad,IN,69.35,overcast clouds,17.6833,77.6167,PREETHAM WORKING WOMENS HOSTEL
588,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
589,Chicama,PE,63.14,few clouds,-7.8447,-79.1469,Balihai Bungalows
590,Haldia,IN,73.44,clear sky,22.0605,88.1097,Prayag Balaji Hotel
591,Bongandanga,CD,76.5,overcast clouds,1.5,21.05,
